launch_year,main_category,usd_pledged_real
2009,Art,349826.94
2009,Comics,79747.33
2009,Crafts,13089.0
2009,Dance,21561.37
2009,Design,35719.22
2009,Fashion,13543.99
2009,Film & Video,664185.7999999999
2009,Food,83853.05
2009,Games,70035.74
2009,Journalism,53622.12
2009,Music,700861.1699999998
2009,Photography,80797.57
2009,Publishing,220850.49
2009,Technology,75402.07999999999
2009,Theater,66572.17
2010,Art,1345933.4899999998
2010,Comics,460689.55999999994
2010,Crafts,69784.19
2010,Dance,326227.15
2010,Design,1672274.99
2010,Fashion,197121.92
2010,Film & Video,10243987.820000002
2010,Food,788757.8799999999
2010,Games,461431.27
2010,Journalism,276340.14
2010,Music,6431651.690000001
2010,Photography,841419.9099999999
2010,Publishing,885000.2299999997
2010,Technology,747739.7799999999
2010,Theater,1314750.85
2011,Art,5458378.799999993
2011,Comics,1532276.45
2011,Crafts,118592.23999999999
2011,Dance,1020860.9600000002
2011,Design,12341673.19999999
2011,Fashion,1195282.93
2011,Film & Video,28755771.939999994
2011,Food,2594624.5499999993
2011,Games,3821336.4599999995
2011,Journalism,522554.63
2011,Music,19447403.099999983
2011,Photography,1745278.5399999993
2011,Publishing,4244131.309999997
2011,Technology,5499397.469999998
2011,Theater,3901589.299999998
2012,Art,8650052.110000005
2012,Comics,8645455.939999998
2012,Crafts,312016.76999999996
2012,Dance,1664339.17
2012,Design,43810178.76000005
2012,Fashion,5331568.159999998
2012,Film & Video,48150108.10999998
2012,Food,9204632.400000004
2012,Games,82370836.58999997
2012,Journalism,1116987.69
2012,Music,31571720.93000001
2012,Photography,2675952.5
2012,Publishing,12057768.429999994
2012,Technology,24745240.159999993
2012,Theater,6152967.689999998
2013,Art,11380514.58999999
2013,Comics,11641577.409999996
2013,Crafts,1414292.99
2013,Dance,2154871.170000001
2013,Design,61089640.93999998
2013,Fashion,17239841.179999996
2013,Film & Video,72428388.1499998
2013,Food,17213870.200000003
2013,Games,99073910.21000011
2013,Journalism,1083835.2699999998
2013,Music,30234284.32999999
2013,Photography,3743951.6900000004
2013,Publishing,18352704.220000003
2013,Technology,65048693.78999998
2013,Theater,7450357.5
2014,Art,12820139.93999999
2014,Comics,8813945.450000001
2014,Crafts,1735114.9999999998
2014,Dance,2489310.3900000006
2014,Design,86119277.68999991
2014,Fashion,19181094.800000004
2014,Film & Video,53203375.30000006
2014,Food,23122220.499999978
2014,Games,75857963.25000006
2014,Journalism,1595525.9700000004
2014,Music,27074279.270000007
2014,Photography,5766409.119999995
2014,Publishing,18406137.41999998
2014,Technology,103501215.51000005
2014,Theater,7035551.020000004
2015,Art,13456894.58
2015,Comics,12116763.659999993
2015,Crafts,2770603.8400000012
2015,Dance,1596042.83
2015,Design,146332287.50000003
2015,Fashion,25346756.19000001
2015,Film & Video,54221599.49999996
2015,Food,20882166.099999998
2015,Games,133281245.63999978
2015,Journalism,2414389.11
2015,Music,22277349.439999945
2015,Photography,6342378.029999999
2015,Publishing,19474877.04999999
2015,Technology,140770491.14999992
2015,Theater,5606351.720000002
2016,Art,11923348.429999994
2016,Comics,11824587.700000001
2016,Crafts,3102777.060000001
2016,Dance,1691505.7199999997
2016,Design,166070861.96999973
2016,Fashion,23140416.86000001
2016,Film & Video,34499381.74999996
2016,Food,16466345.620000005
2016,Games,136390248.88999978
2016,Journalism,1927518.9100000001
2016,Music,20653512.379999995
2016,Photography,6199452.279999994
2016,Publishing,20522360.580000002
2016,Technology,134264306.09
2016,Theater,4526706.3199999975
2017,Art,14861420.839999989
2017,Comics,11399983.589999996
2017,Crafts,2370537.8299999987
2017,Dance,1178890.93
2017,Design,145674016.48999995
2017,Fashion,21817079.070000008
2017,Film & Video,27382016.390000008
2017,Food,15214570.98999999
2017,Games,147508548.7399998
2017,Journalism,1478315.8799999997
2017,Music,18755110.939999994
2017,Photography,6023496.819999998
2017,Publishing,21910172.200000037
2017,Technology,121498736.30000003
2017,Theater,2973616.890000001
